Zeitstempel,Wassertemperatur,Lufttemperatur,Luftfeuchtigkeit
2023-11-02T05:14:49.699Z,37.00,20.00,60.00
2023-11-02T05:14:50.698Z,37.00,20.00,60.00
2023-11-02T05:14:51.699Z,37.00,20.00,60.00
2023-11-02T05:14:52.701Z,37.00,20.00,60.00
2023-11-02T05:14:53.703Z,37.00,20.00,60.00
2023-11-02T05:14:54.703Z,37.00,20.00,60.00
2023-11-02T05:14:55.705Z,37.00,20.00,60.00
2023-11-02T05:14:56.706Z,37.00,20.00,60.00
2023-11-02T05:14:57.708Z,37.00,20.00,60.00
2023-11-02T05:14:58.709Z,37.00,20.00,60.00
2023-11-02T05:14:59.710Z,37.00,20.00,60.00
2023-11-02T05:15:00.711Z,37.00,20.00,60.00
2023-11-02T05:15:01.713Z,37.00,20.00,60.00
2023-11-02T05:15:02.714Z,37.00,20.00,60.00
2023-11-02T05:15:03.716Z,37.00,20.00,60.00
2023-11-02T05:15:04.717Z,37.00,20.00,60.00
2023-11-02T05:15:05.719Z,37.00,20.00,60.00
2023-11-02T05:15:06.720Z,37.00,20.00,60.00
2023-11-02T05:15:07.721Z,37.00,20.00,60.00
2023-11-02T05:15:08.722Z,37.00,20.00,60.00
2023-11-02T05:15:09.724Z,37.00,20.00,60.00
2023-11-02T05:15:10.726Z,37.00,20.00,60.00
2023-11-02T05:15:11.727Z,37.00,20.00,60.00
2023-11-02T05:15:12.728Z,37.00,20.00,60.00
2023-11-02T05:15:13.729Z,37.00,20.00,60.00
2023-11-02T05:15:14.732Z,37.00,20.00,60.00
2023-11-02T05:15:15.732Z,37.00,20.00,60.00
2023-11-02T05:15:16.733Z,37.00,20.00,60.00
2023-11-02T05:15:17.734Z,37.00,20.00,60.00
2023-11-02T05:15:18.736Z,37.00,20.00,60.00
