Zeitstempel;Wassertemperatur;Lufttemperatur;Luftfeuchtigkeit;Referenztemperatur
2023-11-04T14:19:46.873Z;-127.00;-127.00;48.59;23.71
2023-11-04T14:19:47.879Z;-127.00;-127.00;48.59;23.71
2023-11-04T14:19:48.886Z;-127.00;-127.00;48.58;23.71
2023-11-04T14:19:49.892Z;-127.00;-127.00;48.59;23.70
2023-11-04T14:19:50.899Z;-127.00;-127.00;48.61;23.70
2023-11-04T14:19:51.906Z;-127.00;-127.00;48.63;23.70
2023-11-04T14:19:52.913Z;-127.00;-127.00;48.65;23.70
2023-11-04T14:19:53.920Z;-127.00;-127.00;48.63;23.71
2023-11-04T14:19:54.926Z;-127.00;-127.00;48.62;23.71
2023-11-04T14:19:55.933Z;-127.00;-127.00;48.65;23.71
2023-11-04T14:19:56.939Z;-127.00;-127.00;48.72;23.71
2023-11-04T14:19:57.946Z;-127.00;-127.00;48.74;23.72
2023-11-04T14:19:58.953Z;-127.00;-127.00;49.58;23.72
2023-11-04T14:19:59.959Z;-127.00;-127.00;49.60;23.73
2023-11-04T14:20:00.966Z;-127.00;-127.00;49.33;23.73
2023-11-04T14:20:01.973Z;-127.00;-127.00;49.15;23.74
2023-11-04T14:20:02.980Z;-127.00;-127.00;48.96;23.74
2023-11-04T14:20:03.987Z;-127.00;-127.00;48.94;23.74
2023-11-04T14:20:04.993Z;-127.00;-127.00;48.96;23.75
2023-11-04T14:20:06.000Z;-127.00;-127.00;49.00;23.75
2023-11-04T14:20:07.006Z;-127.00;-127.00;48.99;23.75
2023-11-04T14:20:08.013Z;-127.00;-127.00;48.96;23.75
2023-11-04T14:20:09.020Z;-127.00;-127.00;48.93;23.75
2023-11-04T14:20:10.027Z;-127.00;-127.00;48.85;23.75
2023-11-04T14:20:11.033Z;-127.00;-127.00;48.80;23.76
2023-11-04T14:20:12.040Z;-127.00;-127.00;48.74;23.75
2023-11-04T14:20:13.046Z;-127.00;-127.00;48.70;23.75
2023-11-04T14:20:14.053Z;-127.00;-127.00;48.66;23.75
2023-11-04T14:20:15.060Z;-127.00;-127.00;48.62;23.74
2023-11-04T14:20:16.067Z;-127.00;-127.00;48.63;23.75
2023-11-04T14:20:17.073Z;-127.00;-127.00;48.66;23.75
2023-11-04T14:20:18.080Z;-127.00;-127.00;48.70;23.75
2023-11-04T14:20:19.087Z;-127.00;-127.00;48.68;23.75
2023-11-04T14:20:20.094Z;-127.00;-127.00;48.65;23.75
2023-11-04T14:20:21.100Z;-127.00;-127.00;48.64;23.75
2023-11-04T14:20:22.107Z;-127.00;-127.00;48.62;23.75
2023-11-04T14:20:23.114Z;-127.00;-127.00;48.59;23.74
2023-11-04T14:20:24.120Z;-127.00;-127.00;48.59;23.74
2023-11-04T14:20:25.127Z;-127.00;-127.00;48.62;23.74
2023-11-04T14:20:26.134Z;-127.00;-127.00;48.60;23.73
2023-11-04T14:20:27.140Z;-127.00;-127.00;48.60;23.74
2023-11-04T14:20:28.147Z;-127.00;-127.00;48.62;23.73
2023-11-04T14:20:29.154Z;-127.00;-127.00;48.86;23.73
2023-11-04T14:20:30.160Z;-127.00;-127.00;49.30;23.74
2023-11-04T14:20:31.167Z;-127.00;-127.00;49.40;23.74
2023-11-04T14:20:32.174Z;-127.00;-127.00;49.44;23.74
2023-11-04T14:20:33.180Z;-127.00;-127.00;49.30;23.75
2023-11-04T14:20:34.187Z;-127.00;-127.00;49.05;23.74
2023-11-04T14:20:35.194Z;-127.00;-127.00;48.90;23.74
2023-11-04T14:20:36.201Z;-127.00;-127.00;48.79;23.74
2023-11-04T14:20:37.207Z;-127.00;-127.00;48.73;23.74
2023-11-04T14:20:38.214Z;-127.00;-127.00;48.72;23.74
2023-11-04T14:20:39.221Z;-127.00;-127.00;48.68;23.74
2023-11-04T14:20:40.228Z;-127.00;-127.00;48.64;23.74
2023-11-04T14:20:41.234Z;-127.00;-127.00;48.62;23.74
2023-11-04T14:20:42.241Z;-127.00;-127.00;48.59;23.73
2023-11-04T14:20:43.247Z;-127.00;-127.00;48.57;23.73
2023-11-04T14:20:44.254Z;-127.00;-127.00;48.59;23.72
2023-11-04T14:20:45.261Z;-127.00;-127.00;48.58;23.73
2023-11-04T14:20:46.267Z;-127.00;-127.00;48.59;23.72
2023-11-04T14:20:47.274Z;-127.00;-127.00;48.60;23.72
2023-11-04T14:20:48.281Z;-127.00;-127.00;48.60;23.72
2023-11-04T14:20:49.288Z;-127.00;-127.00;48.59;23.72
2023-11-04T14:20:50.295Z;-127.00;-127.00;48.59;23.72
2023-11-04T14:20:51.302Z;-127.00;-127.00;48.59;23.72
