Zeitstempel;Wassertemperatur;Lufttemperatur;Luftfeuchtigkeit;Referenztemperatur
2023-11-04T14:44:06.583Z;-127.00;-127.00;48.80;23.76
2023-11-04T14:44:07.589Z;-127.00;-127.00;48.81;23.76
2023-11-04T14:44:08.595Z;-127.00;-127.00;48.79;23.76
2023-11-04T14:44:09.602Z;-127.00;-127.00;48.76;23.77
2023-11-04T14:44:10.609Z;-127.00;-127.00;48.74;23.76
2023-11-04T14:44:11.617Z;-127.00;-127.00;48.74;23.75
2023-11-04T14:44:12.622Z;-127.00;-127.00;48.73;23.76
2023-11-04T14:44:13.629Z;-127.00;-127.00;48.76;23.77
2023-11-04T14:44:14.635Z;-127.00;-127.00;48.78;23.77
2023-11-04T14:44:15.642Z;-127.00;-127.00;49.31;23.78
2023-11-04T14:44:16.649Z;-127.00;-127.00;49.77;23.78
2023-11-04T14:44:17.655Z;-127.00;-127.00;49.69;23.77
2023-11-04T14:44:18.662Z;-127.00;-127.00;49.68;23.78
2023-11-04T14:44:19.669Z;-127.00;-127.00;49.92;23.79
2023-11-04T14:44:20.676Z;-127.00;-127.00;49.72;23.79
2023-11-04T14:44:21.683Z;-127.00;-127.00;49.30;23.79
2023-11-04T14:44:22.689Z;-127.00;-127.00;49.06;23.78
2023-11-04T14:44:23.696Z;-127.00;-127.00;48.95;23.79
2023-11-04T14:44:24.702Z;-127.00;-127.00;48.89;23.79
2023-11-04T14:44:25.709Z;-127.00;-127.00;48.86;23.79
2023-11-04T14:44:26.716Z;-127.00;-127.00;48.84;23.79
2023-11-04T14:44:27.722Z;-127.00;-127.00;48.84;23.79
2023-11-04T14:44:28.729Z;-127.00;-127.00;49.43;23.80
2023-11-04T14:44:29.736Z;-127.00;-127.00;50.28;23.81
2023-11-04T14:44:30.742Z;-127.00;-127.00;50.10;23.81
2023-11-04T14:44:31.751Z;-127.00;-127.00;49.96;23.83
2023-11-04T14:44:32.756Z;-127.00;-127.00;49.70;23.83
2023-11-04T14:44:33.763Z;-127.00;-127.00;49.38;23.82
2023-11-04T14:44:34.770Z;-127.00;-127.00;49.17;23.82
2023-11-04T14:44:35.776Z;-127.00;-127.00;49.04;23.83
2023-11-04T14:44:36.783Z;-127.00;-127.00;48.92;23.82
2023-11-04T14:44:37.789Z;-127.00;-127.00;48.83;23.82
